Unnamed: 0,LocationID,Borough,zone,service_zone,latitude,longitude
215,216,Queens,South Ozone Park,Boro Zone,40.677223,-73.820625
216,217,Brooklyn,South Williamsburg,Boro Zone,40.703232,-73.957722
217,218,Queens,Springfield Gardens North,Boro Zone,40.673482,-73.772874
218,219,Queens,Springfield Gardens South,Boro Zone,40.660308,-73.770318
219,220,Bronx,Spuyten Duyvil,Boro Zone,40.881849,-73.910761
220,221,Staten Island,Stapleton,Boro Zone,40.62023,-74.072363
221,222,Brooklyn,Starrett City,Boro Zone,40.646718,-73.882918
222,223,Queens,Steinway,Boro Zone,40.778407,-73.905832
223,224,Manhattan,Stuy Town,Yellow Zone,40.73171,-73.976981
224,225,Brooklyn,Stuyvesant Heights,Boro Zone,40.688715,-73.930123
225,226,Queens,Sunnyside,Boro Zone,40.735247,-73.92653
226,227,Brooklyn,Sunset Park East,Boro Zone,40.641535,-74.002948
227,228,Brooklyn,Sunset Park West,Boro Zone,40.653593,-74.009961
228,229,Manhattan,Sutton Place,Yellow Zone,40.756573,-73.964998
229,230,Manhattan,Times Sq,Yellow Zone,40.759817,-73.984196
230,231,Manhattan,TriBeCa,Yellow Zone,40.718577,-74.007264
231,232,Manhattan,Two Bridges,Yellow Zone,40.7153,-73.983022
232,233,Manhattan,UN,Yellow Zone,40.749124,-73.969979
233,234,Manhattan,Union Sq,Yellow Zone,40.740237,-73.990458
234,235,Bronx,University Heights,Boro Zone,40.85371,-73.916381
235,236,Manhattan,Upper East Side North,Yellow Zone,40.78044,-73.95701
236,237,Manhattan,Upper East Side South,Yellow Zone,40.768614,-73.965636
237,238,Manhattan,Upper West Side North,Yellow Zone,40.791783,-73.973031
238,239,Manhattan,Upper West Side South,Yellow Zone,40.784025,-73.978732
239,240,Bronx,Van Cortlandt Park,Boro Zone,40.894772,-73.880536
240,241,Bronx,Van Cortlandt Village,Boro Zone,40.876012,-73.895879
241,242,Bronx,Van Nest,Boro Zone,40.849653,-73.85104
242,243,Manhattan,Washington Heights North,Boro Zone,40.858639,-73.935794
243,244,Manhattan,Washington Heights South,Boro Zone,40.841194,-73.940775
244,245,Staten Island,West Brighton,Boro Zone,40.628387,-74.100682
245,246,Manhattan,West Chelsea,Yellow Zone,40.752412,-74.003812
246,247,Bronx,West Concourse,Boro Zone,40.829182,-73.922514
247,248,Bronx,West Farms,Boro Zone,40.834681,-73.8733
248,249,Manhattan,West Village,Yellow Zone,40.734611,-74.001965
249,250,Bronx,Westchester Village,Boro Zone,40.832609,-73.849862
250,251,Staten Island,Westerleigh,Boro Zone,40.619585,-74.123674
251,252,Queens,Whitestone,Boro Zone,40.788317,-73.815703
252,253,Queens,Willets Point,Boro Zone,40.760392,-73.841752
253,254,Bronx,Williamsbridge,Boro Zone,40.88331,-73.85823
254,255,Brooklyn,Williamsburg (North Side),Boro Zone,40.718792,-73.957288
255,256,Brooklyn,Williamsburg (South Side),Boro Zone,40.710979,-73.959332
256,257,Brooklyn,Windsor Terrace,Boro Zone,40.653478,-73.979635
257,258,Queens,Woodhaven,Boro Zone,40.689972,-73.854936
258,259,Bronx,Woodlawn,Boro Zone,40.89907,-73.856319
259,260,Queens,Woodside,Boro Zone,40.746605,-73.906841
260,261,Manhattan,World Trade Center,Yellow Zone,40.70912,-74.012644
261,262,Manhattan,Yorkville East,Yellow Zone,40.776681,-73.945142
262,263,Manhattan,Yorkville West,Yellow Zone,40.778766,-73.951009
263,264,Unknown,NV,,,
264,265,Unknown,,,,
